date,day_of_week,month,year,region_Basel,region_Bern,region_Geneva,region_Lausanne,region_Zurich,transport_type_Boat,transport_type_Bus,transport_type_Train,transport_type_Tram,predicted_users,region,transport_type
2024-01-01,0,1,2024,False,False,False,False,True,False,False,True,False,1008.7825,Zurich,Train
2024-01-01,0,1,2024,False,False,False,False,True,False,True,False,False,1012.0029,Zurich,Bus
2024-01-01,0,1,2024,False,False,False,False,True,False,False,False,True,1020.46826,Zurich,Tram
2024-01-01,0,1,2024,False,False,False,False,True,True,False,False,False,1027.6929,Zurich,Boat
2024-01-01,0,1,2024,False,False,True,False,False,False,False,True,False,1012.5819,Geneva,Train
2024-01-01,0,1,2024,False,False,True,False,False,False,True,False,False,1031.5062,Geneva,Bus
2024-01-01,0,1,2024,False,False,True,False,False,False,False,False,True,1024.4952,Geneva,Tram
2024-01-01,0,1,2024,False,False,True,False,False,True,False,False,False,1024.0608,Geneva,Boat
2024-01-01,0,1,2024,True,False,False,False,False,False,False,True,False,1013.33734,Basel,Train
2024-01-01,0,1,2024,True,False,False,False,False,False,True,False,False,1015.9995,Basel,Bus
2024-01-01,0,1,2024,True,False,False,False,False,False,False,False,True,1013.45166,Basel,Tram
2024-01-01,0,1,2024,True,False,False,False,False,True,False,False,False,1019.8723,Basel,Boat
2024-01-01,0,1,2024,False,True,False,False,False,False,False,True,False,1014.56177,Bern,Train
2024-01-01,0,1,2024,False,True,False,False,False,False,True,False,False,1029.7124,Bern,Bus
2024-01-01,0,1,2024,False,True,False,False,False,False,False,False,True,1024.9042,Bern,Tram
2024-01-01,0,1,2024,False,True,False,False,False,True,False,False,False,1035.611,Bern,Boat
2024-01-01,0,1,2024,False,False,False,True,False,False,False,True,False,1014.044,Lausanne,Train
2024-01-01,0,1,2024,False,False,False,True,False,False,True,False,False,1024.7748,Lausanne,Bus
2024-01-01,0,1,2024,False,False,False,True,False,False,False,False,True,1026.3312,Lausanne,Tram
2024-01-01,0,1,2024,False,False,False,True,False,True,False,False,False,1011.73596,Lausanne,Boat
2024-01-02,1,1,2024,False,False,False,False,True,False,False,True,False,1003.886,Zurich,Train
