date,region,transport_type,users,temperature,precipitation
2021-01-01,Zurich,Train,1004,32.64052345967664,4.610502191524082
2021-01-01,Zurich,Bus,1009,32.64052345967664,4.610502191524082
2021-01-01,Zurich,Tram,993,32.64052345967664,4.610502191524082
2021-01-01,Zurich,Boat,994,32.64052345967664,4.610502191524082
2021-01-01,Geneva,Train,1087,32.64052345967664,4.610502191524082
2021-01-01,Geneva,Bus,1029,32.64052345967664,4.610502191524082
2021-01-01,Geneva,Tram,1006,32.64052345967664,4.610502191524082
2021-01-01,Geneva,Boat,942,32.64052345967664,4.610502191524082
2021-01-01,Basel,Train,1027,32.64052345967664,4.610502191524082
2021-01-01,Basel,Bus,996,32.64052345967664,4.610502191524082
2021-01-01,Basel,Tram,956,32.64052345967664,4.610502191524082
2021-01-01,Basel,Boat,1002,32.64052345967664,4.610502191524082
2021-01-01,Bern,Train,977,32.64052345967664,4.610502191524082
2021-01-01,Bern,Bus,996,32.64052345967664,4.610502191524082
2021-01-01,Bern,Tram,1010,32.64052345967664,4.610502191524082
2021-01-01,Bern,Boat,1067,32.64052345967664,4.610502191524082
2021-01-01,Lausanne,Train,987,32.64052345967664,4.610502191524082
2021-01-01,Lausanne,Bus,1018,32.64052345967664,4.610502191524082
2021-01-01,Lausanne,Tram,1015,32.64052345967664,4.610502191524082
2021-01-01,Lausanne,Boat,971,32.64052345967664,4.610502191524082
2021-01-02,Zurich,Train,983,19.001572083672237,9.351605120778256
2021-01-02,Zurich,Bus,1006,19.001572083672237,9.351605120778256
2021-01-02,Zurich,Tram,971,19.001572083672237,9.351605120778256
2021-01-02,Zurich,Boat,1014,19.001572083672237,9.351605120778256
2021-01-02,Geneva,Train,997,19.001572083672237,9.351605120778256
2021-01-02,Geneva,Bus,964,19.001572083672237,9.351605120778256
2021-01-02,Geneva,Tram,1014,19.001572083672237,9.351605120778256
2021-01-02,Geneva,Boat,969,19.001572083672237,9.351605120778256
2021-01-02,Basel,Train,1033,19.001572083672237,9.351605120778256
2021-01-02,Basel,Bus,1035,19.001572083672237,9.351605120778256
2021-01-02,Basel,Tram,1023,19.001572083672237,9.351605120778256
2021-01-02,Basel,Boat,979,19.001572083672237,9.351605120778256
2021-01-02,Bern,Train,981,19.001572083672237,9.351605120778256
2021-01-02,Bern,Bus,983,19.001572083672237,9.351605120778256
2021-01-02,Bern,Tram,938,19.001572083672237,9.351605120778256
2021-01-02,Bern,Boat,1006,19.001572083672237,9.351605120778256
2021-01-02,Lausanne,Train,1002,19.001572083672237,9.351605120778256
2021-01-02,Lausanne,Bus,1007,19.001572083672237,9.351605120778256
2021-01-02,Lausanne,Tram,983,19.001572083672237,9.351605120778256
2021-01-02,Lausanne,Boat,959,19.001572083672237,9.351605120778256
2021-01-03,Zurich,Train,980,24.787379841057398,8.847648222993799
2021-01-03,Zurich,Bus,1008,24.787379841057398,8.847648222993799
2021-01-03,Zurich,Tram,1034,24.787379841057398,8.847648222993799
2021-01-03,Zurich,Boat,1016,24.787379841057398,8.847648222993799
2021-01-03,Geneva,Train,976,24.787379841057398,8.847648222993799
2021-01-03,Geneva,Bus,1008,24.787379841057398,8.847648222993799
2021-01-03,Geneva,Tram,995,24.787379841057398,8.847648222993799
